Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T43 ,50,1463.336132,165.606958,60.189085,33.833361,1.778986,0.670497,7.359955
T59,5,1068.661667,141.497095,55.18577,32.042273,1.72228,0.670741,6.699397
T21 ,122,1385.100214,161.013756,56.842415,30.230844,1.880279,0.671375,3.036436
T56,92,1394.495683,161.50358,57.501485,30.635008,1.876986,0.671835,6.196924
T14 ,172,1844.329276,185.727544,66.79103,35.928152,1.859017,0.671886,3.969581
T85,118,1294.610027,155.578767,51.210632,35.47367,1.443624,0.672122,12.697938
T58,24,1530.833955,169.149348,60.383621,34.268834,1.762056,0.672353,7.427747
T81,34,1769.552848,181.810199,67.478771,36.943302,1.82655,0.672724,9.198269
T37 ,181,1309.406594,156.384328,54.245116,30.307851,1.789804,0.672819,2.995112
T41 ,272,1461.701877,165.220073,57.777599,31.882034,1.812231,0.672888,7.596787
T85,123,1053.337371,140.198373,51.507533,31.381095,1.641356,0.673428,8.816086
T76,195,1365.818314,159.636696,57.718684,30.132696,1.915484,0.6735,5.514352
T70,155,1410.754995,162.138356,58.162374,31.288112,1.858929,0.674357,16.779811
T77,120,1372.902494,159.935717,60.924473,32.801886,1.857347,0.674464,1.803101
T76,175,1181.052441,148.284043,52.782379,30.646803,1.72228,0.674979,2.284884
T12 ,143,1319.589305,156.707453,56.35224,30.642529,1.839021,0.675257,3.266394
T87,100,1173.693823,147.702223,53.815403,35.15422,1.530838,0.676068,7.440009
T58,91,1241.878794,151.842924,55.091206,30.632207,1.798473,0.676862,5.939301
T59,151,1495.260018,166.534857,61.470475,34.654875,1.77379,0.677511,2.351783
T65,105,1685.794379,176.811939,61.99671,39.651306,1.563548,0.677628,6.88882
T97,143,1329.843767,157.037011,58.909656,30.517031,1.930386,0.677652,12.442726
T14 ,85,1470.305383,165.082042,54.063743,36.573915,1.478205,0.677981,2.578387
T16 ,189,1264.697569,153.041762,50.826966,32.220446,1.577476,0.678542,5.107878
T71,173,1341.196314,157.480702,57.445057,33.008674,1.740302,0.679591,6.308243
T41 ,89,1751.003187,179.892814,61.782886,38.673417,1.597554,0.679938,4.175581
T68,202,1772.337365,180.984136,64.723167,33.750739,1.917682,0.679947,13.203069
T41 ,160,1867.992447,185.797315,65.860472,34.751397,1.895189,0.679996,6.205897
T65,172,1442.24549,163.253946,56.246065,37.358321,1.505583,0.68002,5.597014
T42 ,114,1633.109052,173.708085,61.635284,34.801164,1.77107,0.680119,3.765538
T45 ,159,1386.054054,160.026163,53.828557,34.849483,1.544601,0.680155,1.172746
T45 ,134,1342.486486,157.376421,55.193027,31.112698,1.773971,0.681146,5.281336
T14 ,144,1725.958914,178.432691,60.864846,35.58044,1.710627,0.681226,4.967125
T44 ,146,1651.089489,174.40776,61.625685,34.513395,1.785558,0.682101,4.896403
T11 ,68,1463.602068,164.165856,58.316947,31.027308,1.879536,0.682444,5.107932
T33 ,63,1606.710614,171.942378,60.879293,33.736892,1.804532,0.682939,1.707859
T86,71,940.99782,131.473025,46.89272,34.294676,1.367347,0.684109,5.99031
T30 ,224,1208.141482,148.959481,52.80337,30.013252,1.759335,0.684213,2.855981
T60,167,1575.208534,170.073512,62.540302,32.280852,1.937381,0.684344,0.295426
T90,181,1718.597483,177.638227,63.504957,33.832212,1.877056,0.684402,6.223846
T41 ,147,1520.565325,167.042658,58.847762,32.098779,1.833333,0.684794,1.277285
T48,142,1353.123141,157.550099,57.156495,30.326402,1.884711,0.68503,1.177218
T56,163,1598.844919,171.219951,62.200753,35.321465,1.76099,0.685342,7.80203
T54,139,1464.947257,163.892889,57.68328,33.048634,1.745406,0.685349,3.444518
T16 ,156,1529.112493,167.433938,63.057575,33.115929,1.904146,0.685429,4.982169
