Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T91,1,17.904065,16.959563,6.195503,4.366156,1.418983,0.782226,1.004334
T18 ,64,16.019936,16.981132,6.328494,3.164247,2,0.698132,1.898548
T10 ,4,18.812392,16.981558,6.232053,5.453047,1.142857,0.819783,0.376744
T10 ,10,18.508966,16.981558,6.280552,4.738512,1.325427,0.806561,0.018361
T10 ,14,18.508966,16.981558,5.958255,4.738512,1.25741,0.806561,0.991598
T41 ,70,18.145875,17.063872,6.193314,4.672693,1.325427,0.783128,0.877929
T42 ,151,16.757649,17.132214,6.313707,3.380188,1.867857,0.717457,1.352937
T44 ,8,19.185967,17.186716,5.969178,5.235315,1.140175,0.816221,0.580034
T42 ,24,19.423638,17.254478,6.452923,5.038886,1.280625,0.819855,0.405829
T13 ,114,20.367676,17.310073,5.997839,4.851995,1.236159,0.854188,0.662722
T41 ,58,18.883512,17.382065,6.145488,6.145488,1,0.785398,0
T10 ,15,20.32952,17.437889,6.633003,5.078502,1.306094,0.840135,0.376471
T10 ,111,20.32952,17.437889,6.633003,5.078502,1.306094,0.840135,0.376471
T13 ,43,20.499934,17.611349,6.193118,5.467195,1.132778,0.830572,0.495305
T24 ,1,18.494437,17.647397,6.561811,3.876433,1.692745,0.746259,1.501017
T90,40,18.751605,17.651908,6.350496,4.086152,1.554151,0.756249,0.170905
T45 ,5,7.351351,17.669641,7.959356,0.929981,8.558621,0.295884,3.979678
T13 ,151,21.954768,17.736142,6.586388,5.143105,1.280625,0.877042,0.112505
T10 ,18,20.784659,17.760565,6.633003,5.078502,1.306094,0.828017,0.787872
T97,51,20.990541,17.775918,6.934858,4.752343,1.45925,0.834775,0.705896
T41 ,68,20.948896,17.832058,6.540868,5.774184,1.132778,0.827881,0
T98,21,20.560796,18.076652,6.609969,4.361048,1.515684,0.790704,0.651983
T96,66,22.717611,18.07787,6.292039,5.575595,1.128496,0.87353,0.429997
T10 ,17,20.936372,18.08324,6.633003,5.453047,1.216385,0.804561,0.28468
T41 ,5,21.096424,18.150251,6.540868,5.774184,1.132778,0.804736,0.099104
T36 ,6,23.521585,18.187965,6.629817,5.272403,1.257456,0.893528,0.330028
T90,80,18.494734,18.24569,6.799767,3.399884,2,0.698132,2.03993
T30 ,198,21.033905,18.253423,7.146145,4.217804,1.694281,0.793307,1.465945
T14 ,157,22.219241,18.338677,6.919333,5.46719,1.26561,0.830239,0.214021
T44 ,33,23.160203,18.360809,6.704475,5.565216,1.204711,0.863314,0.306913
T90,60,21.962497,18.368667,6.608186,4.781375,1.382068,0.817968,0.37966
T11 ,32,19.561269,18.411253,6.892455,3.811985,1.808101,0.725171,1.669963
